pixel,Wavelength,White LED,RGB Screen,Sunlight
0,317.7690273,1034.25,98.4,449.7777778
1,320.4685603,1148.916667,123.5,486.5555556
2,323.1657533,1121.583333,113.9,451.4444444
3,325.8605556,1094.25,106.4,455.6666667
4,328.552917,1131.25,105.7,441.1111111
5,331.2427875,1055.333333,107.8,434.5555556
6,333.9301175,1067.75,111.8,406.3333333
7,336.6148579,1075.25,104.2,398.7777778
8,339.2969597,1065,99.5,399
9,341.9763745,1039.25,90.6,408
10,344.653054,1080.416667,85.8,444.1111111
11,347.3269506,1082.333333,83.1,567.1111111
12,349.9980166,1039.333333,93.6,718
13,352.6662051,1060,103,946
14,355.3314693,1064.166667,84,1259
15,357.9937627,1051.5,76.6,1662.555556
16,360.6530394,1063.916667,71.4,2052.111111
17,363.3092536,1043.916667,91.6,2343.222222
18,365.96236,999.0833333,96.4,2608.888889
19,368.6123135,1032.833333,93.7,2910.666667
20,371.2590696,1051.583333,98.1,3300.444444
21,373.9025839,1039.75,81,3721.444444
22,376.5428123,1022.416667,102.9,3987.777778
23,379.1797114,1040,103.1,4198
24,381.8132378,1042.833333,108.1,4420.888889
25,384.4433486,1063.25,93.2,4678.444444
26,387.0700013,1034.25,101.1,4860.555556
27,389.6931534,1084.333333,121.8,5107.555556
28,392.3127632,1102.166667,101.1,5644.222222
29,394.928789,1094.916667,108.6,6574.222222
30,397.5411897,1076,104.3,7498.444444
31,400.1499244,1085.083333,126.1,8340.888889
32,402.7549524,1145.416667,131.2,9455.555556
33,405.3562337,1135.666667,137.4,11229.22222
34,407.9537282,1178.166667,126,13074.88889
35,410.5473965,1189.25,121.2,14407
36,413.1371994,1260.583333,144,14863.66667
37,415.723098,1325.583333,154.8,14795.33333
38,418.3050537,1521.166667,159.9,14512.22222
39,420.8830284,1673.333333,190.9,14502.33333
40,423.4569842,1977.666667,213.1,14287
41,426.0268836,2313.583333,251.4,13899.66667
42,428.5926893,2895,286.5,13522
43,431.1543645,3557.833333,354.1,13066.11111
44,433.7118727,4476.333333,423.7,12510.11111
45,436.2651776,5769.416667,518.4,12258.11111
